"n","pA","sdC1","sdC2","rho","estimator","tau","true_q","avg_q_hat","bias_q_hat","mse_q_hat","var_q_hat"
100,0.5,0.5,0.05,-0.5,"Direct",0.5,1.33703,1.413,0.07597,0.005771,NA
100,0.5,0.5,0.05,-0.5,"Direct",0.75,1.960201,1.815,-0.145201,0.021083,NA
100,0.5,0.5,0.05,-0.5,"ISDLT",0.25,0.86365,0.889,0.02535,0.000643,NA
100,0.5,0.5,0.05,-0.5,"ISDLT",0.5,1.33703,1.447,0.10997,0.012093,NA
100,0.5,0.5,0.05,-0.5,"ISDLT",0.75,1.960201,1.953,-0.007201,5.2e-05,NA
100,0.5,0.5,0.05,0,"Direct",0.25,0.86365,0.908,0.04435,0.001967,NA
100,0.5,0.5,0.05,0,"Direct",0.5,1.33703,1.307,-0.03003,0.000902,NA
100,0.5,0.5,0.05,0,"Direct",0.75,1.960201,2.148,0.187799,0.035268,NA
100,0.5,0.5,0.05,0,"ISDLT",0.25,0.86365,0.958,0.09435,0.008902,NA
100,0.5,0.5,0.05,0,"ISDLT",0.5,1.33703,1.501,0.16397,0.026886,NA
100,0.5,0.5,0.05,0,"ISDLT",0.75,1.960201,2.352,0.391799,0.153506,NA
100,0.5,0.5,0.05,0.5,"Direct",0.25,0.86365,0.972,0.10835,0.01174,NA
100,0.5,0.5,0.05,0.5,"Direct",0.5,1.33703,1.365,0.02797,0.000782,NA
100,0.5,0.5,0.05,0.5,"Direct",0.75,1.960201,1.935,-0.025201,0.000635,NA
100,0.5,0.5,0.05,0.5,"ISDLT",0.25,0.86365,0.867,0.00335,1.1e-05,NA
100,0.5,0.5,0.05,0.5,"ISDLT",0.5,1.33703,1.373,0.03597,0.001294,NA
100,0.5,0.5,0.05,0.5,"ISDLT",0.75,1.960201,2.115,0.154799,0.023963,NA
100,0.5,0.5,0.25,-0.5,"Direct",0.25,0.86365,0.844,-0.01965,0.000386,NA
100,0.5,0.5,0.25,-0.5,"Direct",0.5,1.33703,1.253,-0.08403,0.007061,NA
100,0.5,0.5,0.25,-0.5,"Direct",0.75,1.960201,1.831,-0.129201,0.016693,NA
100,0.5,0.5,0.25,-0.5,"ISDLT",0.25,0.86365,0.936,0.07235,0.005235,NA
100,0.5,0.5,0.25,-0.5,"ISDLT",0.5,1.33703,1.424,0.08697,0.007564,NA
100,0.5,0.5,0.25,-0.5,"ISDLT",0.75,1.960201,1.976,0.015799,0.00025,NA
100,0.5,0.5,0.25,0,"Direct",0.25,0.86365,0.868,0.00435,1.9e-05,NA
100,0.5,0.5,0.25,0,"Direct",0.5,1.33703,1.38,0.04297,0.001846,NA
100,0.5,0.5,0.25,0,"Direct",0.75,1.960201,2.021,0.060799,0.003697,NA
100,0.5,0.5,0.25,0,"ISDLT",0.25,0.86365,0.912,0.04835,0.002338,NA
100,0.5,0.5,0.25,0,"ISDLT",0.5,1.33703,1.574,0.23697,0.056155,NA
100,0.5,0.5,0.25,0,"ISDLT",0.75,1.960201,2.313,0.352799,0.124467,NA
100,0.5,0.5,0.25,0.5,"Direct",0.25,0.86365,0.93,0.06635,0.004402,NA
100,0.5,0.5,0.25,0.5,"Direct",0.5,1.33703,1.367,0.02997,0.000898,NA
100,0.5,0.5,0.25,0.5,"Direct",0.75,1.960201,1.903,-0.057201,0.003272,NA
100,0.5,0.5,0.25,0.5,"ISDLT",0.25,0.86365,0.852,-0.01165,0.000136,NA
100,0.5,0.5,0.25,0.5,"ISDLT",0.5,1.33703,1.425,0.08797,0.007739,NA
100,0.5,0.5,0.25,0.5,"ISDLT",0.75,1.960201,2.146,0.185799,0.034521,NA
100,0.5,0.5,0.5,-0.5,"Direct",0.25,0.86365,0.821,-0.04265,0.001819,NA
100,0.5,0.5,0.5,-0.5,"Direct",0.5,1.33703,1.415,0.07797,0.006079,NA
100,0.5,0.5,0.5,-0.5,"Direct",0.75,1.960201,2.291,0.330799,0.109428,NA
100,0.5,0.5,0.5,-0.5,"ISDLT",0.25,0.86365,0.887,0.02335,0.000545,NA
100,0.5,0.5,0.5,-0.5,"ISDLT",0.5,1.33703,1.501,0.16397,0.026886,NA
100,0.5,0.5,0.5,-0.5,"ISDLT",0.75,1.960201,2.226,0.265799,0.070649,NA
100,0.5,0.5,0.5,0,"Direct",0.25,0.86365,0.832,-0.03165,0.001002,NA
100,0.5,0.5,0.5,0,"Direct",0.5,1.33703,1.44,0.10297,0.010603,NA
100,0.5,0.5,0.5,0,"Direct",0.75,1.960201,1.942,-0.018201,0.000331,NA
100,0.5,0.5,0.5,0,"ISDLT",0.25,0.86365,0.735,-0.12865,0.016551,NA
100,0.5,0.5,0.5,0,"ISDLT",0.5,1.33703,1.448,0.11097,0.012314,NA
100,0.5,0.5,0.5,0,"ISDLT",0.75,1.960201,2.269,0.308799,0.095357,NA
100,0.5,0.5,0.5,0.5,"Direct",0.25,0.86365,0.766,-0.09765,0.009535,NA
100,0.5,0.5,0.5,0.5,"Direct",0.5,1.33703,1.274,-0.06303,0.003973,NA
100,0.5,0.5,0.5,0.5,"Direct",0.75,1.960201,1.879,-0.081201,0.006594,NA
100,0.5,0.5,0.5,0.5,"ISDLT",0.25,0.86365,0.48,-0.38365,0.147187,NA
100,0.5,0.5,0.5,0.5,"ISDLT",0.5,1.33703,1.31,-0.02703,0.000731,NA
100,0.5,0.5,0.5,0.5,"ISDLT",0.75,1.960201,2.256,0.295799,0.087497,NA
100,0.75,0.05,0.05,-0.5,"Direct",0.25,0.86365,0.94,0.07635,0.005829,NA
100,0.75,0.05,0.05,-0.5,"Direct",0.5,1.33703,1.259,-0.07803,0.006089,NA
100,0.75,0.05,0.05,-0.5,"Direct",0.75,1.960201,1.895,-0.065201,0.004251,NA
100,0.75,0.05,0.05,-0.5,"ISDLT",0.25,0.86365,0.98,0.11635,0.013537,NA
100,0.75,0.05,0.05,-0.5,"ISDLT",0.5,1.33703,1.311,-0.02603,0.000678,NA
100,0.75,0.05,0.05,-0.5,"ISDLT",0.75,1.960201,1.992,0.031799,0.001011,NA
100,0.75,0.05,0.05,0,"Direct",0.25,0.86365,0.925,0.06135,0.003764,NA
100,0.75,0.05,0.05,0,"Direct",0.5,1.33703,1.41,0.07297,0.005325,NA
100,0.75,0.05,0.05,0,"Direct",0.75,1.960201,2.019,0.058799,0.003457,NA
100,0.75,0.05,0.05,0,"ISDLT",0.25,0.86365,0.879,0.01535,0.000236,NA
100,0.75,0.05,0.05,0,"ISDLT",0.5,1.33703,1.365,0.02797,0.000782,NA
100,0.75,0.05,0.05,0,"ISDLT",0.75,1.960201,2.04,0.079799,0.006368,NA
100,0.75,0.05,0.05,0.5,"Direct",0.25,0.86365,0.795,-0.06865,0.004713,NA
100,0.75,0.05,0.05,0.5,"Direct",0.5,1.33703,1.427,0.08997,0.008095,NA
100,0.75,0.05,0.05,0.5,"Direct",0.75,1.960201,1.995,0.034799,0.001211,NA
100,0.75,0.05,0.05,0.5,"ISDLT",0.25,0.86365,0.936,0.07235,0.005235,NA
100,0.75,0.05,0.05,0.5,"ISDLT",0.5,1.33703,1.449,0.11197,0.012537,NA
100,0.75,0.05,0.05,0.5,"ISDLT",0.75,1.960201,2.05,0.089799,0.008064,NA
100,0.75,0.05,0.25,-0.5,"Direct",0.25,0.86365,0.977,0.11335,0.012848,NA
100,0.75,0.05,0.25,-0.5,"Direct",0.5,1.33703,1.421,0.08397,0.007051,NA
100,0.75,0.05,0.25,-0.5,"Direct",0.75,1.960201,2.148,0.187799,0.035268,NA
100,0.75,0.05,0.25,-0.5,"ISDLT",0.25,0.86365,1.099,0.23535,0.05539,NA
100,0.75,0.05,0.25,-0.5,"ISDLT",0.5,1.33703,1.528,0.19097,0.036469,NA
100,0.75,0.05,0.25,-0.5,"ISDLT",0.75,1.960201,2.106,0.145799,0.021257,NA
100,0.75,0.05,0.25,0,"Direct",0.25,0.86365,0.678,-0.18565,0.034466,NA
100,0.75,0.05,0.25,0,"Direct",0.5,1.33703,1.267,-0.07003,0.004904,NA
100,0.75,0.05,0.25,0,"Direct",0.75,1.960201,1.769,-0.191201,0.036558,NA
100,0.75,0.05,0.25,0,"ISDLT",0.25,0.86365,0.771,-0.09265,0.008584,NA
100,0.75,0.05,0.25,0,"ISDLT",0.5,1.33703,1.305,-0.03203,0.001026,NA
100,0.75,0.05,0.25,0,"ISDLT",0.75,1.960201,1.826,-0.134201,0.01801,NA
100,0.75,0.05,0.25,0.5,"Direct",0.25,0.86365,0.806,-0.05765,0.003323,NA
100,0.75,0.05,0.25,0.5,"Direct",0.5,1.33703,1.277,-0.06003,0.003604,NA
100,0.75,0.05,0.25,0.5,"Direct",0.75,1.960201,1.819,-0.141201,0.019938,NA
100,0.75,0.05,0.25,0.5,"ISDLT",0.25,0.86365,0.808,-0.05565,0.003097,NA
100,0.75,0.05,0.25,0.5,"ISDLT",0.5,1.33703,1.386,0.04897,0.002398,NA
100,0.75,0.05,0.25,0.5,"ISDLT",0.75,1.960201,2.033,0.072799,0.0053,NA
100,0.75,0.05,0.5,-0.5,"Direct",0.25,0.86365,0.893,0.02935,0.000861,NA
100,0.75,0.05,0.5,-0.5,"Direct",0.5,1.33703,1.262,-0.07503,0.00563,NA
100,0.75,0.05,0.5,-0.5,"Direct",0.75,1.960201,1.643,-0.317201,0.100616,NA
100,0.75,0.05,0.5,-0.5,"ISDLT",0.25,0.86365,0.798,-0.06565,0.00431,NA
100,0.75,0.05,0.5,-0.5,"ISDLT",0.5,1.33703,1.256,-0.08103,0.006566,NA
100,0.75,0.05,0.5,-0.5,"ISDLT",0.75,1.960201,1.779,-0.181201,0.032834,NA
100,0.75,0.05,0.5,0,"Direct",0.25,0.86365,0.937,0.07335,0.00538,NA
100,0.75,0.05,0.5,0,"Direct",0.5,1.33703,1.498,0.16097,0.025911,NA
100,0.75,0.05,0.5,0,"Direct",0.75,1.960201,2.225,0.264799,0.070118,NA
100,0.75,0.05,0.5,0,"ISDLT",0.25,0.86365,0.948,0.08435,0.007115,NA
100,0.75,0.05,0.5,0,"ISDLT",0.5,1.33703,1.609,0.27197,0.073968,NA
100,0.75,0.05,0.5,0,"ISDLT",0.75,1.960201,2.443,0.482799,0.233095,NA
100,0.75,0.05,0.5,0.5,"Direct",0.25,0.86365,0.781,-0.08265,0.006831,NA
100,0.75,0.05,0.5,0.5,"Direct",0.5,1.33703,1.33,-0.00703,4.9e-05,NA
100,0.75,0.05,0.5,0.5,"Direct",0.75,1.960201,2.021,0.060799,0.003697,NA
100,0.75,0.05,0.5,0.5,"ISDLT",0.25,0.86365,0.632,-0.23165,0.053662,NA
100,0.75,0.05,0.5,0.5,"ISDLT",0.5,1.33703,1.296,-0.04103,0.001683,NA
100,0.75,0.05,0.5,0.5,"ISDLT",0.75,1.960201,2.072,0.111799,0.012499,NA
100,0.75,0.1,0.05,-0.5,"Direct",0.25,0.86365,0.831,-0.03265,0.001066,NA
100,0.75,0.1,0.05,-0.5,"Direct",0.5,1.33703,1.298,-0.03903,0.001523,NA
100,0.75,0.1,0.05,-0.5,"Direct",0.75,1.960201,1.972,0.011799,0.000139,NA
100,0.75,0.1,0.05,-0.5,"ISDLT",0.25,0.86365,0.979,0.11535,0.013306,NA
100,0.75,0.1,0.05,-0.5,"ISDLT",0.5,1.33703,1.418,0.08097,0.006556,NA
100,0.75,0.1,0.05,-0.5,"ISDLT",0.75,1.960201,2.284,0.323799,0.104846,NA
100,0.75,0.1,0.05,0,"Direct",0.25,0.86365,0.902,0.03835,0.001471,NA
100,0.75,0.1,0.05,0,"Direct",0.5,1.33703,1.408,0.07097,0.005037,NA
100,0.75,0.1,0.05,0,"Direct",0.75,1.960201,2.028,0.067799,0.004597,NA
100,0.75,0.1,0.05,0,"ISDLT",0.25,0.86365,0.852,-0.01165,0.000136,NA
100,0.75,0.1,0.05,0,"ISDLT",0.5,1.33703,1.421,0.08397,0.007051,NA
100,0.75,0.1,0.05,0,"ISDLT",0.75,1.960201,2.064,0.103799,0.010774,NA
100,0.75,0.1,0.05,0.5,"Direct",0.25,0.86365,1.009,0.14535,0.021127,NA
100,0.75,0.1,0.05,0.5,"Direct",0.5,1.33703,1.42,0.08297,0.006884,NA
100,0.75,0.1,0.05,0.5,"Direct",0.75,1.960201,2.008,0.047799,0.002285,NA
100,0.75,0.1,0.05,0.5,"ISDLT",0.25,0.86365,1.072,0.20835,0.04341,NA
100,0.75,0.1,0.05,0.5,"ISDLT",0.5,1.33703,1.422,0.08497,0.00722,NA
100,0.75,0.1,0.05,0.5,"ISDLT",0.75,1.960201,2.033,0.072799,0.0053,NA
100,0.75,0.1,0.25,-0.5,"Direct",0.25,0.86365,0.842,-0.02165,0.000469,NA
100,0.75,0.1,0.25,-0.5,"Direct",0.5,1.33703,1.355,0.01797,0.000323,NA
100,0.75,0.1,0.25,-0.5,"Direct",0.75,1.960201,1.981,0.020799,0.000433,NA
100,0.75,0.1,0.25,-0.5,"ISDLT",0.25,0.86365,0.944,0.08035,0.006456,NA
100,0.75,0.1,0.25,-0.5,"ISDLT",0.5,1.33703,1.43,0.09297,0.008643,NA
100,0.75,0.1,0.25,-0.5,"ISDLT",0.75,1.960201,1.886,-0.074201,0.005506,NA
100,0.75,0.1,0.25,0,"Direct",0.25,0.86365,0.944,0.08035,0.006456,NA
100,0.75,0.1,0.25,0,"Direct",0.5,1.33703,1.236,-0.10103,0.010207,NA
100,0.75,0.1,0.25,0,"Direct",0.75,1.960201,1.833,-0.127201,0.01618,NA
100,0.75,0.1,0.25,0,"ISDLT",0.25,0.86365,0.962,0.09835,0.009673,NA
100,0.75,0.1,0.25,0,"ISDLT",0.5,1.33703,1.408,0.07097,0.005037,NA
100,0.75,0.1,0.25,0,"ISDLT",0.75,1.960201,2.351,0.390799,0.152724,NA
100,0.75,0.1,0.25,0.5,"Direct",0.25,0.86365,0.841,-0.02265,0.000513,NA
100,0.75,0.1,0.25,0.5,"Direct",0.5,1.33703,1.26,-0.07703,0.005934,NA
100,0.75,0.1,0.25,0.5,"Direct",0.75,1.960201,1.849,-0.111201,0.012366,NA
100,0.75,0.1,0.25,0.5,"ISDLT",0.25,0.86365,0.851,-0.01265,0.00016,NA
100,0.75,0.1,0.25,0.5,"ISDLT",0.5,1.33703,1.381,0.04397,0.001933,NA
100,0.75,0.1,0.25,0.5,"ISDLT",0.75,1.960201,2.062,0.101799,0.010363,NA
100,0.75,0.1,0.5,-0.5,"Direct",0.25,0.86365,0.664,-0.19965,0.03986,NA
100,0.75,0.1,0.5,-0.5,"Direct",0.5,1.33703,1.175,-0.16203,0.026254,NA
100,0.75,0.1,0.5,-0.5,"Direct",0.75,1.960201,1.634,-0.326201,0.106407,NA
100,0.75,0.1,0.5,-0.5,"ISDLT",0.25,0.86365,0.733,-0.13065,0.017069,NA
100,0.75,0.1,0.5,-0.5,"ISDLT",0.5,1.33703,1.151,-0.18603,0.034607,NA
100,0.75,0.1,0.5,-0.5,"ISDLT",0.75,1.960201,1.66,-0.300201,0.090121,NA
100,0.75,0.1,0.5,0,"Direct",0.25,0.86365,0.919,0.05535,0.003064,NA
100,0.75,0.1,0.5,0,"Direct",0.5,1.33703,1.326,-0.01103,0.000122,NA
100,0.75,0.1,0.5,0,"Direct",0.75,1.960201,1.898,-0.062201,0.003869,NA
100,0.75,0.1,0.5,0,"ISDLT",0.25,0.86365,0.943,0.07935,0.006296,NA
100,0.75,0.1,0.5,0,"ISDLT",0.5,1.33703,1.431,0.09397,0.00883,NA
100,0.75,0.1,0.5,0,"ISDLT",0.75,1.960201,2.175,0.214799,0.046139,NA
100,0.75,0.1,0.5,0.5,"Direct",0.25,0.86365,0.706,-0.15765,0.024853,NA
100,0.75,0.1,0.5,0.5,"Direct",0.5,1.33703,1.232,-0.10503,0.011031,NA
100,0.75,0.1,0.5,0.5,"Direct",0.75,1.960201,1.968,0.007799,6.1e-05,NA
100,0.75,0.1,0.5,0.5,"ISDLT",0.25,0.86365,0.664,-0.19965,0.03986,NA
100,0.75,0.1,0.5,0.5,"ISDLT",0.5,1.33703,1.342,0.00497,2.5e-05,NA
100,0.75,0.1,0.5,0.5,"ISDLT",0.75,1.960201,2.104,0.143799,0.020678,NA
100,0.75,0.5,0.05,-0.5,"Direct",0.25,0.86365,0.978,0.11435,0.013076,NA
100,0.75,0.5,0.05,-0.5,"Direct",0.5,1.33703,1.344,0.00697,4.9e-05,NA
100,0.75,0.5,0.05,-0.5,"Direct",0.75,1.960201,1.96,-0.000201,0,NA
100,0.75,0.5,0.05,-0.5,"ISDLT",0.25,0.86365,1.07,0.20635,0.04258,NA
100,0.75,0.5,0.05,-0.5,"ISDLT",0.5,1.33703,1.575,0.23797,0.05663,NA
100,0.75,0.5,0.05,-0.5,"ISDLT",0.75,1.960201,2.088,0.127799,0.016333,NA
100,0.75,0.5,0.05,0,"Direct",0.25,0.86365,0.896,0.03235,0.001047,NA
100,0.75,0.5,0.05,0,"Direct",0.5,1.33703,1.456,0.11897,0.014154,NA
100,0.75,0.5,0.05,0,"Direct",0.75,1.960201,1.896,-0.064201,0.004122,NA
100,0.75,0.5,0.05,0,"ISDLT",0.25,0.86365,0.938,0.07435,0.005528,NA
100,0.75,0.5,0.05,0,"ISDLT",0.5,1.33703,1.418,0.08097,0.006556,NA
100,0.75,0.5,0.05,0,"ISDLT",0.75,1.960201,1.982,0.021799,0.000475,NA
100,0.75,0.5,0.05,0.5,"Direct",0.25,0.86365,0.882,0.01835,0.000337,NA
100,0.75,0.5,0.05,0.5,"Direct",0.5,1.33703,1.337,-3e-05,0,NA
100,0.75,0.5,0.05,0.5,"Direct",0.75,1.960201,1.865,-0.095201,0.009063,NA
100,0.75,0.5,0.05,0.5,"ISDLT",0.25,0.86365,0.718,-0.14565,0.021214,NA
100,0.75,0.5,0.05,0.5,"ISDLT",0.5,1.33703,1.358,0.02097,0.00044,NA
100,0.75,0.5,0.05,0.5,"ISDLT",0.75,1.960201,2.009,0.048799,0.002381,NA
100,0.75,0.5,0.25,-0.5,"Direct",0.25,0.86365,0.765,-0.09865,0.009732,NA
100,0.75,0.5,0.25,-0.5,"Direct",0.5,1.33703,1.3,-0.03703,0.001371,NA
100,0.75,0.5,0.25,-0.5,"Direct",0.75,1.960201,2.101,0.140799,0.019824,NA
100,0.75,0.5,0.25,-0.5,"ISDLT",0.25,0.86365,0.899,0.03535,0.00125,NA
100,0.75,0.5,0.25,-0.5,"ISDLT",0.5,1.33703,1.531,0.19397,0.037624,NA
100,0.75,0.5,0.25,-0.5,"ISDLT",0.75,1.960201,2.278,0.317799,0.100996,NA
100,0.75,0.5,0.25,0,"Direct",0.25,0.86365,0.866,0.00235,6e-06,NA
100,0.75,0.5,0.25,0,"Direct",0.5,1.33703,1.341,0.00397,1.6e-05,NA
100,0.75,0.5,0.25,0,"Direct",0.75,1.960201,1.767,-0.193201,0.037327,NA
100,0.75,0.5,0.25,0,"ISDLT",0.25,0.86365,0.626,-0.23765,0.056477,NA
100,0.75,0.5,0.25,0,"ISDLT",0.5,1.33703,1.231,-0.10603,0.011242,NA
100,0.75,0.5,0.25,0,"ISDLT",0.75,1.960201,1.944,-0.016201,0.000262,NA
100,0.75,0.5,0.25,0.5,"Direct",0.25,0.86365,1.022,0.15835,0.025075,NA
100,0.75,0.5,0.25,0.5,"Direct",0.5,1.33703,1.433,0.09597,0.00921,NA
100,0.75,0.5,0.25,0.5,"Direct",0.75,1.960201,2.196,0.235799,0.055601,NA
100,0.75,0.5,0.25,0.5,"ISDLT",0.25,0.86365,0.973,0.10935,0.011957,NA
100,0.75,0.5,0.25,0.5,"ISDLT",0.5,1.33703,1.757,0.41997,0.176375,NA
100,0.75,0.5,0.25,0.5,"ISDLT",0.75,1.960201,2.57,0.609799,0.371855,NA
100,0.75,0.5,0.5,-0.5,"Direct",0.25,0.86365,0.797,-0.06665,0.004442,NA
100,0.75,0.5,0.5,-0.5,"Direct",0.5,1.33703,1.442,0.10497,0.011019,NA
100,0.75,0.5,0.5,-0.5,"Direct",0.75,1.960201,2.106,0.145799,0.021257,NA
100,0.75,0.5,0.5,-0.5,"ISDLT",0.25,0.86365,1.089,0.22535,0.050783,NA
100,0.75,0.5,0.5,-0.5,"ISDLT",0.5,1.33703,1.585,0.24797,0.061489,NA
100,0.75,0.5,0.5,-0.5,"ISDLT",0.75,1.960201,2.121,0.160799,0.025856,NA
100,0.75,0.5,0.5,0,"Direct",0.25,0.86365,0.768,-0.09565,0.009149,NA
100,0.75,0.5,0.5,0,"Direct",0.5,1.33703,1.19,-0.14703,0.021618,NA
100,0.75,0.5,0.5,0,"Direct",0.75,1.960201,1.945,-0.015201,0.000231,NA
100,0.75,0.5,0.5,0,"ISDLT",0.25,0.86365,0.889,0.02535,0.000643,NA
100,0.75,0.5,0.5,0,"ISDLT",0.5,1.33703,1.516,0.17897,0.03203,NA
100,0.75,0.5,0.5,0,"ISDLT",0.75,1.960201,2.16,0.199799,0.03992,NA
100,0.75,0.5,0.5,0.5,"Direct",0.25,0.86365,0.825,-0.03865,0.001494,NA
100,0.75,0.5,0.5,0.5,"Direct",0.5,1.33703,1.28,-0.05703,0.003252,NA
100,0.75,0.5,0.5,0.5,"Direct",0.75,1.960201,1.846,-0.114201,0.013042,NA
100,0.75,0.5,0.5,0.5,"ISDLT",0.25,0.86365,0.464,-0.39965,0.15972,NA
100,0.75,0.5,0.5,0.5,"ISDLT",0.5,1.33703,1.29,-0.04703,0.002212,NA
100,0.75,0.5,0.5,0.5,"ISDLT",0.75,1.960201,2.238,0.277799,0.077172,NA
500,0.25,0.05,0.05,-0.5,"Direct",0.25,0.86365,0.916,0.05235,0.002741,NA
500,0.25,0.05,0.05,-0.5,"Direct",0.5,1.33703,1.326,-0.01103,0.000122,NA
500,0.25,0.05,0.05,-0.5,"Direct",0.75,1.960201,1.898,-0.062201,0.003869,NA
500,0.25,0.05,0.05,-0.5,"ISDLT",0.25,0.86365,0.927,0.06335,0.004013,NA
500,0.25,0.05,0.05,-0.5,"ISDLT",0.5,1.33703,1.307,-0.03003,0.000902,NA
500,0.25,0.05,0.05,-0.5,"ISDLT",0.75,1.960201,1.923,-0.037201,0.001384,NA
500,0.25,0.05,0.05,0,"Direct",0.25,0.86365,0.825,-0.03865,0.001494,NA
500,0.25,0.05,0.05,0,"Direct",0.5,1.33703,1.284,-0.05303,0.002812,NA
500,0.25,0.05,0.05,0,"Direct",0.75,1.960201,1.933,-0.027201,0.00074,NA
500,0.25,0.05,0.05,0,"ISDLT",0.25,0.86365,0.845,-0.01865,0.000348,NA
500,0.25,0.05,0.05,0,"ISDLT",0.5,1.33703,1.305,-0.03203,0.001026,NA
500,0.25,0.05,0.05,0,"ISDLT",0.75,1.960201,1.915,-0.045201,0.002043,NA
500,0.25,0.05,0.05,0.5,"Direct",0.25,0.86365,0.87,0.00635,4e-05,NA
500,0.25,0.05,0.05,0.5,"Direct",0.5,1.33703,1.331,-0.00603,3.6e-05,NA
500,0.25,0.05,0.05,0.5,"Direct",0.75,1.960201,1.997,0.036799,0.001354,NA
500,0.25,0.05,0.05,0.5,"ISDLT",0.25,0.86365,0.888,0.02435,0.000593,NA
500,0.25,0.05,0.05,0.5,"ISDLT",0.5,1.33703,1.336,-0.00103,1e-06,NA
500,0.25,0.05,0.05,0.5,"ISDLT",0.75,1.960201,2.032,0.071799,0.005155,NA
500,0.25,0.05,0.25,-0.5,"Direct",0.25,0.86365,0.855,-0.00865,7.5e-05,NA
500,0.25,0.05,0.25,-0.5,"Direct",0.5,1.33703,1.35,0.01297,0.000168,NA
500,0.25,0.05,0.25,-0.5,"Direct",0.75,1.960201,1.898,-0.062201,0.003869,NA
500,0.25,0.05,0.25,-0.5,"ISDLT",0.25,0.86365,0.878,0.01435,0.000206,NA
500,0.25,0.05,0.25,-0.5,"ISDLT",0.5,1.33703,1.378,0.04097,0.001679,NA
500,0.25,0.05,0.25,-0.5,"ISDLT",0.75,1.960201,1.862,-0.098201,0.009643,NA
500,0.25,0.05,0.25,0,"Direct",0.25,0.86365,0.877,0.01335,0.000178,NA
500,0.25,0.05,0.25,0,"Direct",0.5,1.33703,1.353,0.01597,0.000255,NA
500,0.25,0.05,0.25,0,"Direct",0.75,1.960201,1.93,-0.030201,0.000912,NA
500,0.25,0.05,0.25,0,"ISDLT",0.25,0.86365,0.852,-0.01165,0.000136,NA
500,0.25,0.05,0.25,0,"ISDLT",0.5,1.33703,1.399,0.06197,0.00384,NA
500,0.25,0.05,0.25,0,"ISDLT",0.75,1.960201,1.927,-0.033201,0.001102,NA
500,0.25,0.05,0.25,0.5,"Direct",0.25,0.86365,0.88,0.01635,0.000267,NA
500,0.25,0.05,0.25,0.5,"Direct",0.5,1.33703,1.373,0.03597,0.001294,NA
500,0.25,0.05,0.25,0.5,"Direct",0.75,1.960201,2.038,0.077799,0.006053,NA
500,0.25,0.05,0.25,0.5,"ISDLT",0.25,0.86365,0.78,-0.08365,0.006997,NA
500,0.25,0.05,0.25,0.5,"ISDLT",0.5,1.33703,1.368,0.03097,0.000959,NA
500,0.25,0.05,0.25,0.5,"ISDLT",0.75,1.960201,2.062,0.101799,0.010363,NA
500,0.25,0.05,0.5,-0.5,"Direct",0.25,0.86365,0.829,-0.03465,0.001201,NA
500,0.25,0.05,0.5,-0.5,"Direct",0.5,1.33703,1.336,-0.00103,1e-06,NA
500,0.25,0.05,0.5,-0.5,"Direct",0.75,1.960201,1.989,0.028799,0.000829,NA
500,0.25,0.05,0.5,-0.5,"ISDLT",0.25,0.86365,0.858,-0.00565,3.2e-05,NA
500,0.25,0.05,0.5,-0.5,"ISDLT",0.5,1.33703,1.36,0.02297,0.000528,NA
500,0.25,0.05,0.5,-0.5,"ISDLT",0.75,1.960201,1.893,-0.067201,0.004516,NA
500,0.25,0.05,0.5,0,"Direct",0.25,0.86365,0.85,-0.01365,0.000186,NA
500,0.25,0.05,0.5,0,"Direct",0.5,1.33703,1.353,0.01597,0.000255,NA
500,0.25,0.05,0.5,0,"Direct",0.75,1.960201,1.954,-0.006201,3.8e-05,NA
500,0.25,0.05,0.5,0,"ISDLT",0.25,0.86365,0.819,-0.04465,0.001994,NA
500,0.25,0.05,0.5,0,"ISDLT",0.5,1.33703,1.316,-0.02103,0.000442,NA
500,0.25,0.05,0.5,0,"ISDLT",0.75,1.960201,2.034,0.073799,0.005446,NA
500,0.25,0.05,0.5,0.5,"Direct",0.25,0.86365,0.905,0.04135,0.00171,NA
500,0.25,0.05,0.5,0.5,"Direct",0.5,1.33703,1.361,0.02397,0.000575,NA
500,0.25,0.05,0.5,0.5,"Direct",0.75,1.960201,2.018,0.057799,0.003341,NA
500,0.25,0.05,0.5,0.5,"ISDLT",0.25,0.86365,0.794,-0.06965,0.004851,NA
500,0.25,0.05,0.5,0.5,"ISDLT",0.5,1.33703,1.37,0.03297,0.001087,NA
500,0.25,0.05,0.5,0.5,"ISDLT",0.75,1.960201,2.194,0.233799,0.054662,NA
500,0.25,0.1,0.05,-0.5,"Direct",0.25,0.86365,0.826,-0.03765,0.001418,NA
500,0.25,0.1,0.05,-0.5,"Direct",0.5,1.33703,1.352,0.01497,0.000224,NA
500,0.25,0.1,0.05,-0.5,"Direct",0.75,1.960201,1.935,-0.025201,0.000635,NA
500,0.25,0.1,0.05,-0.5,"ISDLT",0.25,0.86365,0.864,0.00035,0,NA
500,0.25,0.1,0.05,-0.5,"ISDLT",0.5,1.33703,1.358,0.02097,0.00044,NA
500,0.25,0.1,0.05,-0.5,"ISDLT",0.75,1.960201,1.916,-0.044201,0.001954,NA
500,0.25,0.1,0.05,0,"Direct",0.25,0.86365,0.829,-0.03465,0.001201,NA
500,0.25,0.1,0.05,0,"Direct",0.5,1.33703,1.337,-3e-05,0,NA
500,0.25,0.1,0.05,0,"Direct",0.75,1.960201,1.967,0.006799,4.6e-05,NA
