"n","p1","maxc","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,0.1,0,0.45,0.836433,0.84088,0.880485,0.827546,0.004447,0.044052,-0.008886,0.001222,0.003042,0.00483,0.001205,0.001103,0.00476,"dir",0.004447,0.001222,0.001205
100,0.25,0.1,0,0.5,0.890625,0.89394,0.933535,0.881596,0.003315,0.04291,-0.009029,0.000876,0.002606,0.00347,0.000867,0.000766,0.003395,"dir",0.003315,0.000876,0.000867
100,0.25,0.1,0,0.55,0.930802,0.93366,0.972624,0.921668,0.002858,0.041822,-0.009134,0.000541,0.00216,0.002305,0.000534,0.000412,0.002226,"dir",0.002858,0.000541,0.000534
100,0.25,0.1,0,0.6,0.95904,0.95994,0.993307,0.949767,9e-04,0.034267,-0.009273,0.000333,0.001281,0.001454,0.000333,0.000107,0.001371,"dir",9e-04,0.000333,0.000333
100,0.25,0.1,0,0.65,0.977678,0.97862,0.999364,0.968523,0.000942,0.021685,-0.009156,0.000194,0.000478,0.000906,0.000193,8e-06,0.000824,"dir",0.000942,0.000194,0.000193
100,0.25,0.1,0,0.7,0.989065,0.98892,1,0.980732,-0.000145,0.010935,-0.008333,9.3e-05,0.00012,0.000483,9.3e-05,0,0.000414,"dir",-0.000145,9.3e-05,9.3e-05
100,0.25,0.1,0,0.75,0.995361,0.9953,1,0.987685,-6.1e-05,0.004639,-0.007676,4.9e-05,2.2e-05,0.000226,4.9e-05,0,0.000167,"dir",-6.1e-05,4.9e-05,4.9e-05
100,0.25,0.1,0,0.8,0.9984,0.9982,1,0.99138,-2e-04,0.0016,-0.00702,2e-05,3e-06,0.000103,2e-05,0,5.4e-05,"dir",-2e-04,2e-05,2e-05
100,0.25,0.1,0,0.85,0.999601,0.99956,1,0.992757,-4.1e-05,0.000399,-0.006845,5e-06,0,6.2e-05,5e-06,0,1.6e-05,"dir",-4.1e-05,5e-06,5e-06
100,0.25,0.1,0,0.9,0.999945,0.99998,1,0.993119,3.5e-05,5.5e-05,-0.006826,0,0,5.2e-05,0,0,6e-06,"dir",3.5e-05,0,0
