"n","p1","ratec","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,16,-0.5,2.6,0.891213,0.884169,0.897086,0.882711,-0.007045,0.005873,-0.008502,0.000904,0.000762,0.003632,0.000856,0.000729,0.003567,"dir",-0.007045,0.000904,0.000856
100,0.25,16,-0.5,2.7,0.905242,0.898932,0.910386,0.897716,-0.00631,0.005144,-0.007527,0.000803,0.000671,0.003224,0.000765,0.000646,0.003174,"dir",-0.00631,0.000803,0.000765
100,0.25,16,-0.5,2.8,0.917612,0.911992,0.922124,0.910964,-0.00562,0.004513,-0.006647,0.000705,0.000583,0.002845,0.000675,0.000564,0.002807,"dir",-0.00562,0.000705,0.000675
100,0.25,16,-0.5,2.9,0.928489,0.923519,0.932467,0.92259,-0.00497,0.003978,-0.005899,0.000611,0.000501,0.002496,0.000587,0.000487,0.002467,"dir",-0.00497,0.000611,0.000587
100,0.25,16,-0.5,3,0.938031,0.933677,0.941561,0.932754,-0.004354,0.00353,-0.005277,0.000523,0.000428,0.002176,0.000505,0.000416,0.002153,"dir",-0.004354,0.000523,0.000505
100,0.25,16,-0.5,3.1,0.946382,0.942611,0.949532,0.941631,-0.003771,0.003149,-0.004751,0.000445,0.000365,0.001886,0.000432,0.000355,0.001867,"dir",-0.003771,0.000445,0.000432
100,0.25,16,-0.5,3.2,0.953676,0.950441,0.956488,0.949388,-0.003235,0.002813,-0.004288,0.000378,0.000311,0.001626,0.000368,0.000303,0.001611,"dir",-0.003235,0.000378,0.000368
100,0.25,16,-0.5,3.3,0.960032,0.957272,0.962532,0.956169,-0.00276,0.0025,-0.003863,0.00032,0.000265,0.001398,0.000313,0.00026,0.001386,"dir",-0.00276,0.00032,0.000313
100,0.25,16,-0.5,3.4,0.965562,0.963203,0.967757,0.962095,-0.002359,0.002195,-0.003467,0.000273,0.000228,0.0012,0.000268,0.000224,0.00119,"dir",-0.002359,0.000273,0.000268
100,0.25,16,-0.5,3.5,0.970364,0.968327,0.972251,0.967266,-0.002036,0.001887,-0.003098,0.000234,0.000198,0.001029,0.00023,0.000194,0.001021,"dir",-0.002036,0.000234,0.00023
