"n","p1","a","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,20,-0.5,-4,3.2e-05,9.1e-05,0.000135,0.000122,5.9e-05,0.000103,9e-05,0,0,0,0,0,0,"dir",5.9e-05,0,0
100,0.25,20,-0.5,-3.9,4.8e-05,0.000132,0.000194,0.000176,8.4e-05,0.000146,0.000128,0,1e-06,1e-06,0,0,1e-06,"dir",8.4e-05,0,0
100,0.25,20,-0.5,-3.8,7.2e-05,0.00019,0.000279,0.000252,0.000118,0.000207,0.000179,0,1e-06,1e-06,0,1e-06,1e-06,"dir",0.000118,0,0
100,0.25,20,-0.5,-3.7,0.000108,0.000273,0.000398,0.000355,0.000166,0.00029,0.000247,1e-06,1e-06,2e-06,1e-06,1e-06,2e-06,"dir",0.000166,1e-06,1e-06
100,0.25,20,-0.5,-3.6,0.000159,0.000391,0.000565,0.000493,0.000232,0.000406,0.000334,1e-06,2e-06,3e-06,1e-06,2e-06,3e-06,"dir",0.000232,1e-06,1e-06
100,0.25,20,-0.5,-3.5,0.000233,0.000556,0.000795,0.000678,0.000323,0.000563,0.000446,2e-06,3e-06,5e-06,2e-06,2e-06,5e-06,"dir",0.000323,2e-06,2e-06
100,0.25,20,-0.5,-3.4,0.000337,0.000784,0.00111,0.000924,0.000447,0.000773,0.000587,3e-06,4e-06,7e-06,2e-06,4e-06,7e-06,"dir",0.000447,3e-06,2e-06
100,0.25,20,-0.5,-3.3,0.000483,0.001095,0.001531,0.001248,0.000612,0.001048,0.000765,4e-06,6e-06,1.1e-05,4e-06,5e-06,1.1e-05,"dir",0.000612,4e-06,4e-06
100,0.25,20,-0.5,-3.2,0.000687,0.001513,0.002086,0.001674,0.000826,0.001399,0.000987,6e-06,1e-05,1.7e-05,5e-06,8e-06,1.6e-05,"dir",0.000826,6e-06,5e-06
100,0.25,20,-0.5,-3.1,0.000968,0.002063,0.002807,0.002231,0.001096,0.00184,0.001263,9e-06,1.4e-05,2.5e-05,7e-06,1.1e-05,2.3e-05,"dir",0.001096,9e-06,7e-06
100,0.25,20,-0.5,-3,0.00135,0.002779,0.003733,0.002954,0.001429,0.002383,0.001604,1.3e-05,2.1e-05,3.6e-05,1.1e-05,1.5e-05,3.3e-05,"dir",0.001429,1.3e-05,1.1e-05
100,0.25,20,-0.5,-2.9,0.001866,0.003699,0.00491,0.003887,0.001833,0.003045,0.002021,1.8e-05,3.1e-05,5.2e-05,1.5e-05,2.2e-05,4.8e-05,"dir",0.001833,1.8e-05,1.5e-05
100,0.25,20,-0.5,-2.8,0.002555,0.00487,0.006396,0.005078,0.002315,0.003841,0.002523,2.6e-05,4.4e-05,7.5e-05,2.1e-05,3e-05,6.9e-05,"dir",0.002315,2.6e-05,2.1e-05
100,0.25,20,-0.5,-2.7,0.003467,0.006349,0.008257,0.006585,0.002882,0.00479,0.003118,3.7e-05,6.3e-05,0.000106,2.9e-05,4e-05,9.7e-05,"dir",0.002882,3.7e-05,2.9e-05
100,0.25,20,-0.5,-2.6,0.004661,0.008203,0.010572,0.008473,0.003542,0.005911,0.003812,5.1e-05,8.9e-05,0.000149,3.9e-05,5.5e-05,0.000135,"dir",0.003542,5.1e-05,3.9e-05
100,0.25,20,-0.5,-2.5,0.00621,0.010512,0.013432,0.010819,0.004302,0.007222,0.004609,7.1e-05,0.000124,0.000206,5.2e-05,7.2e-05,0.000185,"dir",0.004302,7.1e-05,5.2e-05
100,0.25,20,-0.5,-2.4,0.008198,0.013365,0.016937,0.013712,0.005168,0.008739,0.005514,9.6e-05,0.000171,0.00028,6.9e-05,9.5e-05,0.00025,"dir",0.005168,9.6e-05,6.9e-05
100,0.25,20,-0.5,-2.3,0.010724,0.016865,0.021199,0.017251,0.006141,0.010475,0.006527,0.000128,0.000232,0.000375,9.1e-05,0.000122,0.000333,"dir",0.006141,0.000128,9.1e-05
100,0.25,20,-0.5,-2.2,0.013903,0.021122,0.026338,0.021551,0.007218,0.012435,0.007648,0.000169,0.00031,0.000495,0.000117,0.000156,0.000438,"dir",0.007218,0.000169,0.000117
100,0.25,20,-0.5,-2.1,0.017864,0.026255,0.03248,0.026733,0.008391,0.014616,0.008869,0.000219,0.00041,0.000646,0.000149,0.000197,0.000568,"dir",0.008391,0.000219,0.000149
100,0.25,20,-0.5,-2,0.02275,0.032393,0.039756,0.032925,0.009642,0.017006,0.010175,0.00028,0.000534,0.00083,0.000187,0.000245,0.000728,"dir",0.009642,0.00028,0.000187
100,0.25,20,-0.5,-1.9,0.028717,0.039664,0.048298,0.040252,0.010948,0.019582,0.011535,0.000352,0.000683,0.00105,0.000233,3e-04,0.000918,"dir",0.010948,0.000352,0.000233
100,0.25,20,-0.5,-1.8,0.03593,0.048204,0.058243,0.048837,0.012274,0.022313,0.012906,0.000435,0.000861,0.001307,0.000285,0.000364,0.001143,"dir",0.012274,0.000435,0.000285
100,0.25,20,-0.5,-1.7,0.044565,0.058147,0.069724,0.058801,0.013581,0.025158,0.014236,0.000529,0.001066,0.001602,0.000345,0.000434,0.001402,"dir",0.013581,0.000529,0.000345
100,0.25,20,-0.5,-1.6,0.054799,0.069627,0.082873,0.070271,0.014828,0.028074,0.015472,0.00063,0.0013,0.001931,0.000411,0.000512,0.001695,"dir",0.014828,0.00063,0.000411
100,0.25,20,-0.5,-1.5,0.066807,0.082778,0.097816,0.08337,0.015971,0.031008,0.016563,0.000739,0.001558,0.002291,0.000485,0.000598,0.002021,"dir",0.015971,0.000739,0.000485
100,0.25,20,-0.5,-1.4,0.080757,0.097725,0.114657,0.098218,0.016968,0.0339,0.017461,0.000852,0.001837,0.002682,0.000565,0.000689,0.002382,"dir",0.016968,0.000852,0.000565
100,0.25,20,-0.5,-1.3,0.0968,0.114572,0.13348,0.11492,0.017772,0.036679,0.01812,0.000966,0.00213,0.003104,0.000652,0.000786,0.002782,"dir",0.017772,0.000966,0.000652
100,0.25,20,-0.5,-1.2,0.11507,0.133403,0.154341,0.133568,0.018333,0.039272,0.018498,0.001078,0.002429,0.003558,0.000743,0.000889,0.003222,"dir",0.018333,0.001078,0.000743
100,0.25,20,-0.5,-1.1,0.135666,0.154275,0.177271,0.154227,0.018609,0.041605,0.018561,0.001186,0.002728,0.004039,0.000841,0.000999,0.003702,"dir",0.018609,0.001186,0.000841
100,0.25,20,-0.5,-1,0.158655,0.177216,0.202263,0.176933,0.018561,0.043608,0.018277,0.001289,0.003016,0.00454,0.000946,0.001117,0.004214,"dir",0.018561,0.001289,0.000946
100,0.25,20,-0.5,-0.9,0.18406,0.202223,0.229276,0.201697,0.018162,0.045216,0.017636,0.001389,0.003286,0.005054,0.001061,0.001244,0.004753,"dir",0.018162,0.001389,0.001061
100,0.25,20,-0.5,-0.8,0.211855,0.229252,0.258224,0.228511,0.017396,0.046369,0.016655,0.001487,0.003526,0.005573,0.001186,0.001378,0.005306,"dir",0.017396,0.001487,0.001186
100,0.25,20,-0.5,-0.7,0.241964,0.258218,0.288976,0.257349,0.016254,0.047012,0.015385,0.001582,0.00372,0.006084,0.00132,0.001513,0.005859,"dir",0.016254,0.001582,0.00132
100,0.25,20,-0.5,-0.6,0.274253,0.288988,0.321352,0.288154,0.014735,0.047099,0.0139,0.00167,0.003854,0.006562,0.001456,0.001639,0.006382,"dir",0.014735,0.00167,0.001456
100,0.25,20,-0.5,-0.5,0.308538,0.321383,0.355131,0.32081,0.012845,0.046594,0.012272,0.001748,0.003915,0.006981,0.001586,0.001747,0.006844,"dir",0.012845,0.001748,0.001586
100,0.25,20,-0.5,-0.4,0.344578,0.355181,0.390072,0.355116,0.010603,0.045493,0.010537,0.00181,0.003897,0.007318,0.001701,0.001831,0.007221,"dir",0.010603,0.00181,0.001701
100,0.25,20,-0.5,-0.3,0.382089,0.390137,0.425921,0.390771,0.008049,0.043832,0.008682,0.001856,0.003803,0.007559,0.001795,0.001886,0.007499,"dir",0.008049,0.001856,0.001795
100,0.25,20,-0.5,-0.2,0.42074,0.425999,0.462423,0.427404,0.005259,0.041682,0.006663,0.001884,0.003644,0.007689,0.00186,0.00191,0.00766,"dir",0.005259,0.001884,0.00186
100,0.25,20,-0.5,-0.0999999999999996,0.460172,0.462509,0.49931,0.464631,0.002337,0.039138,0.004459,0.001899,0.003437,0.007699,0.001898,0.001909,0.007694,"dir",0.002337,0.001899,0.001898
100,0.25,20,-0.5,0,0.5,0.499398,0.536294,0.502102,-0.000602,0.036294,0.002102,0.001906,0.003202,0.007606,0.00191,0.001889,0.007616,"dir",-0.000602,0.001906,0.00191
100,0.25,20,-0.5,0.100000000000001,0.539828,0.536378,0.573063,0.539496,-0.003449,0.033235,-0.000331,0.001911,0.002955,0.007452,0.001903,0.001854,0.007467,"dir",-0.003449,0.001911,0.001903
100,0.25,20,-0.5,0.2,0.57926,0.573137,0.609291,0.576508,-0.006123,0.030031,-0.002752,0.001914,0.002705,0.007276,0.00188,0.001807,0.007283,"dir",-0.006123,0.001914,0.00188
100,0.25,20,-0.5,0.3,0.617911,0.609351,0.644655,0.612836,-0.00856,0.026744,-0.005075,0.001913,0.002457,0.007088,0.001844,0.001746,0.007077,"dir",-0.00856,0.001913,0.001844
100,0.25,20,-0.5,0.4,0.655422,0.6447,0.678851,0.648179,-0.010722,0.023429,-0.007243,0.001902,0.002213,0.006875,0.00179,0.001667,0.006837,"dir",-0.010722,0.001902,0.00179
100,0.25,20,-0.5,0.5,0.691462,0.678879,0.711602,0.682238,-0.012583,0.020139,-0.009224,0.001873,0.001974,0.006618,0.001718,0.001571,0.006546,"dir",-0.012583,0.001873,0.001718
100,0.25,20,-0.5,0.600000000000001,0.725747,0.711615,0.742672,0.714734,-0.014132,0.016926,-0.011013,0.001823,0.001742,0.006308,0.001626,0.001458,0.006199,"dir",-0.014132,0.001823,0.001626
100,0.25,20,-0.5,0.7,0.758036,0.742671,0.771872,0.745424,-0.015365,0.013836,-0.012613,0.001748,0.00152,0.005951,0.001515,0.001332,0.005804,"dir",-0.015365,0.001748,0.001515
100,0.25,20,-0.5,0.800000000000001,0.788145,0.771858,0.799056,0.77412,-0.016287,0.010912,-0.014025,0.001652,0.001314,0.005554,0.001389,0.001197,0.005368,"dir",-0.016287,0.001652,0.001389
100,0.25,20,-0.5,0.9,0.81594,0.79903,0.824128,0.800706,-0.01691,0.008188,-0.015233,0.001537,0.001128,0.005127,0.001254,0.001063,0.004904,"dir",-0.01691,0.001537,0.001254
100,0.25,20,-0.5,1,0.841345,0.824089,0.847042,0.825142,-0.017255,0.005698,-0.016203,0.001412,0.000964,0.004679,0.001116,0.000933,0.004425,"dir",-0.017255,0.001412,0.001116
100,0.25,20,-0.5,1.1,0.864334,0.846991,0.867806,0.847438,-0.017343,0.003472,-0.016896,0.001282,0.000822,0.004223,0.000983,0.000812,0.003946,"dir",-0.017343,0.001282,0.000983
100,0.25,20,-0.5,1.2,0.88493,0.867742,0.886472,0.867636,-0.017188,0.001542,-0.017294,0.00115,0.000701,0.003772,0.000857,7e-04,0.00348,"dir",-0.017188,0.00115,0.000857
100,0.25,20,-0.5,1.3,0.9032,0.886397,0.903129,0.885798,-0.016802,-7e-05,-0.017401,0.00102,0.000597,0.003334,0.00074,0.000598,0.003038,"dir",-0.016802,0.00102,0.00074
100,0.25,20,-0.5,1.4,0.919243,0.903044,0.917883,0.902003,-0.016199,-0.00136,-0.01724,0.000893,0.000507,0.002917,0.000632,0.000506,0.002625,"dir",-0.016199,0.000893,0.000632
100,0.25,20,-0.5,1.5,0.933193,0.91779,0.930853,0.91635,-0.015403,-0.00234,-0.016843,0.000771,0.000428,0.002524,0.000535,0.000424,0.002245,"dir",-0.015403,0.000771,0.000535
100,0.25,20,-0.5,1.6,0.945201,0.930754,0.942166,0.928957,-0.014447,-0.003035,-0.016243,0.000655,0.000358,0.002159,0.000447,0.00035,0.001899,"dir",-0.014447,0.000655,0.000447
100,0.25,20,-0.5,1.7,0.955435,0.942064,0.951956,0.939963,-0.01337,-0.003479,-0.015472,0.000547,0.000297,0.001824,0.000369,0.000285,0.001588,"dir",-0.01337,0.000547,0.000369
100,0.25,20,-0.5,1.8,0.96407,0.951855,0.960361,0.949513,-0.012215,-0.003708,-0.014557,0.000449,0.000243,0.001522,0.000301,0.00023,0.001313,"dir",-0.012215,0.000449,0.000301
100,0.25,20,-0.5,1.9,0.971283,0.960263,0.967522,0.957755,-0.01102,-0.003762,-0.013529,0.000363,0.000197,0.001254,0.000242,0.000183,0.001073,"dir",-0.01102,0.000363,0.000242
100,0.25,20,-0.5,2,0.97725,0.967428,0.973574,0.964826,-0.009822,-0.003676,-0.012424,0.000289,0.000158,0.001021,0.000193,0.000145,0.000869,"dir",-0.009822,0.000289,0.000193
100,0.25,20,-0.5,2.1,0.982136,0.973486,0.97865,0.970861,-0.00865,-0.003486,-0.011275,0.000226,0.000126,0.000822,0.000152,0.000114,0.000697,"dir",-0.00865,0.000226,0.000152
100,0.25,20,-0.5,2.2,0.986097,0.978568,0.982874,0.975984,-0.007528,-0.003223,-0.010112,0.000176,9.9e-05,0.000655,0.000119,8.9e-05,0.000554,"dir",-0.007528,0.000176,0.000119
100,0.25,20,-0.5,2.3,0.989276,0.982799,0.986363,0.980315,-0.006477,-0.002913,-0.008961,0.000135,7.8e-05,0.000516,9.3e-05,6.9e-05,0.000436,"dir",-0.006477,0.000135,9.3e-05
100,0.25,20,-0.5,2.4,0.991802,0.986295,0.989224,0.98396,-0.005507,-0.002579,-0.007842,0.000102,6e-05,0.000402,7.2e-05,5.4e-05,0.000341,"dir",-0.005507,0.000102,7.2e-05
100,0.25,20,-0.5,2.5,0.99379,0.989163,0.991552,0.987016,-0.004628,-0.002238,-0.006774,7.7e-05,4.6e-05,0.000309,5.6e-05,4.1e-05,0.000264,"dir",-0.004628,7.7e-05,5.6e-05
100,0.25,20,-0.5,2.6,0.995339,0.991498,0.993434,0.989569,-0.003841,-0.001905,-0.00577,5.7e-05,3.5e-05,0.000234,4.3e-05,3.1e-05,0.000201,"dir",-0.003841,5.7e-05,4.3e-05
100,0.25,20,-0.5,2.7,0.996533,0.993386,0.994942,0.991692,-0.003147,-0.001591,-0.004841,4.2e-05,2.6e-05,0.000174,3.2e-05,2.3e-05,0.000151,"dir",-0.003147,4.2e-05,3.2e-05
100,0.25,20,-0.5,2.8,0.997445,0.9949,0.996142,0.993447,-0.002545,-0.001303,-0.003998,3e-05,1.9e-05,0.000127,2.4e-05,1.7e-05,0.000111,"dir",-0.002545,3e-05,2.4e-05
100,0.25,20,-0.5,2.9,0.998134,0.996106,0.997089,0.994886,-0.002028,-0.001045,-0.003249,2.2e-05,1.3e-05,9e-05,1.8e-05,1.2e-05,7.9e-05,"dir",-0.002028,2.2e-05,1.8e-05
100,0.25,20,-0.5,3,0.99865,0.997059,0.997828,0.99605,-0.001591,-0.000822,-0.0026,1.5e-05,1e-05,6.2e-05,1.3e-05,9e-06,5.6e-05,"dir",-0.001591,1.5e-05,1.3e-05
100,0.25,20,-0.5,3.1,0.999032,0.997803,0.998397,0.99698,-0.00123,-0.000635,-0.002052,1.1e-05,7e-06,4.2e-05,9e-06,6e-06,3.8e-05,"dir",-0.00123,1.1e-05,9e-06
100,0.25,20,-0.5,3.2,0.999313,0.998376,0.998828,0.997714,-0.000937,-0.000484,-0.001599,7e-06,5e-06,2.8e-05,7e-06,4e-06,2.5e-05,"dir",-0.000937,7e-06,7e-06
100,0.25,20,-0.5,3.3,0.999517,0.998811,0.99915,0.998285,-0.000705,-0.000366,-0.001231,5e-06,3e-06,1.8e-05,5e-06,3e-06,1.7e-05,"dir",-0.000705,5e-06,5e-06
100,0.25,20,-0.5,3.4,0.999663,0.999136,0.999387,0.998727,-0.000527,-0.000276,-0.000936,4e-06,2e-06,1.1e-05,3e-06,2e-06,1e-05,"dir",-0.000527,4e-06,3e-06
100,0.25,20,-0.5,3.5,0.999767,0.999376,0.999558,0.999064,-0.000392,-0.000209,-0.000703,3e-06,2e-06,7e-06,2e-06,2e-06,6e-06,"dir",-0.000392,3e-06,2e-06
100,0.25,20,-0.5,3.6,0.999841,0.99955,0.999681,0.999319,-0.000291,-0.00016,-0.000522,2e-06,1e-06,4e-06,2e-06,1e-06,4e-06,"dir",-0.000291,2e-06,2e-06
100,0.25,20,-0.5,3.7,0.999892,0.999675,0.999768,0.99951,-0.000218,-0.000124,-0.000382,1e-06,1e-06,2e-06,1e-06,1e-06,2e-06,"dir",-0.000218,1e-06,1e-06
100,0.25,20,-0.5,3.8,0.999928,0.999763,0.999829,0.99965,-0.000164,-9.9e-05,-0.000277,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,"dir",-0.000164,1e-06,1e-06
100,0.25,20,-0.5,3.9,0.999952,0.999825,0.99987,0.999753,-0.000127,-8.2e-05,-0.000199,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,"dir",-0.000127,1e-06,1e-06
100,0.25,20,-0.5,4,0.999968,0.999868,0.999899,0.999826,-0.000101,-7e-05,-0.000142,1e-06,1e-06,0,1e-06,1e-06,0,"dir",-0.000101,1e-06,1e-06
100,0.25,20,0,-4,3.2e-05,8.7e-05,0.000134,0.000187,5.6e-05,0.000102,0.000156,0,0,1e-06,0,0,1e-06,"dir",5.6e-05,0,0
100,0.25,20,0,-3.9,4.8e-05,0.000132,0.000196,0.000264,8.3e-05,0.000148,0.000216,0,0,1e-06,0,0,1e-06,"dir",8.3e-05,0,0
100,0.25,20,0,-3.8,7.2e-05,0.000193,0.000282,0.00037,0.000121,0.00021,0.000298,0,1e-06,2e-06,0,1e-06,2e-06,"dir",0.000121,0,0
100,0.25,20,0,-3.7,0.000108,0.000279,0.000399,0.000514,0.000171,0.000291,0.000406,1e-06,1e-06,3e-06,1e-06,1e-06,3e-06,"dir",0.000171,1e-06,1e-06
100,0.25,20,0,-3.6,0.000159,0.000395,0.000556,0.000706,0.000236,0.000397,0.000547,1e-06,2e-06,5e-06,1e-06,2e-06,4e-06,"dir",0.000236,1e-06,1e-06
100,0.25,20,0,-3.5,0.000233,0.000551,0.000766,0.000961,0.000318,0.000533,0.000728,2e-06,3e-06,7e-06,2e-06,3e-06,7e-06,"dir",0.000318,2e-06,2e-06
100,0.25,20,0,-3.4,0.000337,0.000758,0.001043,0.001295,0.000421,0.000706,0.000958,3e-06,4e-06,1.1e-05,2e-06,4e-06,1e-05,"dir",0.000421,3e-06,2e-06
100,0.25,20,0,-3.3,0.000483,0.001033,0.001407,0.001729,0.00055,0.000923,0.001246,4e-06,6e-06,1.7e-05,4e-06,5e-06,1.6e-05,"dir",0.00055,4e-06,4e-06
100,0.25,20,0,-3.2,0.000687,0.001395,0.001884,0.002288,0.000708,0.001197,0.001601,6e-06,9e-06,2.6e-05,5e-06,7e-06,2.3e-05,"dir",0.000708,6e-06,5e-06
100,0.25,20,0,-3.1,0.000968,0.00187,0.002507,0.002994,0.000902,0.00154,0.002027,8e-06,1.3e-05,3.8e-05,7e-06,1e-05,3.3e-05,"dir",0.000902,8e-06,7e-06
100,0.25,20,0,-3,0.00135,0.00249,0.003318,0.003877,0.00114,0.001968,0.002527,1.1e-05,1.8e-05,5.4e-05,1e-05,1.4e-05,4.7e-05,"dir",0.00114,1.1e-05,1e-05
100,0.25,20,0,-2.9,0.001866,0.003298,0.004366,0.004975,0.001432,0.0025,0.003109,1.6e-05,2.6e-05,7.5e-05,1.4e-05,2e-05,6.6e-05,"dir",0.001432,1.6e-05,1.4e-05
100,0.25,20,0,-2.8,0.002555,0.004343,0.005709,0.006341,0.001788,0.003154,0.003786,2.2e-05,3.7e-05,0.000104,1.9e-05,2.7e-05,9e-05,"dir",0.001788,2.2e-05,1.9e-05
100,0.25,20,0,-2.7,0.003467,0.005683,0.007415,0.008043,0.002216,0.003948,0.004576,3.1e-05,5.2e-05,0.000144,2.6e-05,3.6e-05,0.000123,"dir",0.002216,3.1e-05,2.6e-05
100,0.25,20,0,-2.6,0.004661,0.007387,0.009562,0.010163,0.002726,0.004901,0.005502,4.2e-05,7.2e-05,0.000196,3.5e-05,4.8e-05,0.000166,"dir",0.002726,4.2e-05,3.5e-05
100,0.25,20,0,-2.5,0.00621,0.009531,0.012238,0.012792,0.003322,0.006028,0.006583,5.8e-05,1e-04,0.000266,4.7e-05,6.4e-05,0.000223,"dir",0.003322,5.8e-05,4.7e-05
100,0.25,20,0,-2.4,0.008198,0.012205,0.015543,0.016028,0.004008,0.007345,0.00783,7.8e-05,0.000138,0.000357,6.2e-05,8.4e-05,0.000296,"dir",0.004008,7.8e-05,6.2e-05
100,0.25,20,0,-2.3,0.010724,0.015509,0.019589,0.019972,0.004785,0.008865,0.009248,0.000104,0.000188,0.000474,8.1e-05,0.000109,0.000389,"dir",0.004785,0.000104,8.1e-05
100,0.25,20,0,-2.2,0.013903,0.019555,0.024497,0.024729,0.005651,0.010593,0.010826,0.000137,0.000253,0.000622,0.000105,0.000141,0.000506,"dir",0.005651,0.000137,0.000105
100,0.25,20,0,-2.1,0.017864,0.024464,0.030396,0.030409,0.006599,0.012532,0.012544,0.000179,0.000336,0.000806,0.000135,0.00018,0.00065,"dir",0.006599,0.000179,0.000135
100,0.25,20,0,-2,0.02275,0.030367,0.037425,0.037125,0.007617,0.014675,0.014375,0.00023,0.000441,0.001029,0.000172,0.000226,0.000824,"dir",0.007617,0.00023,0.000172
100,0.25,20,0,-1.9,0.028717,0.037401,0.045724,0.044998,0.008684,0.017008,0.016282,0.000291,0.00057,0.001293,0.000216,0.000281,0.00103,"dir",0.008684,0.000291,0.000216
100,0.25,20,0,-1.8,0.03593,0.045709,0.055439,0.054151,0.009779,0.019509,0.018221,0.000363,0.000724,0.001595,0.000268,0.000344,0.001266,"dir",0.009779,0.000363,0.000268
100,0.25,20,0,-1.7,0.044565,0.055438,0.066719,0.064706,0.010872,0.022153,0.02014,0.000445,0.000906,0.001935,0.000327,0.000416,0.001533,"dir",0.010872,0.000445,0.000327
100,0.25,20,0,-1.6,0.054799,0.066735,0.079708,0.07677,0.011936,0.024908,0.021971,0.000536,0.001116,0.00231,0.000395,0.000497,0.001831,"dir",0.011936,0.000536,0.000395
100,0.25,20,0,-1.5,0.066807,0.079746,0.094545,0.090432,0.012939,0.027737,0.023625,0.000637,0.001355,0.002713,0.00047,0.000587,0.002159,"dir",0.012939,0.000637,0.00047
100,0.25,20,0,-1.4,0.080757,0.09461,0.11135,0.105763,0.013853,0.030593,0.025007,0.000745,0.00162,0.003131,0.000554,0.000686,0.00251,"dir",0.013853,0.000745,0.000554
100,0.25,20,0,-1.3,0.0968,0.111446,0.130218,0.122832,0.014646,0.033418,0.026032,0.000861,0.001908,0.003548,0.000647,0.000793,0.002877,"dir",0.014646,0.000861,0.000647
100,0.25,20,0,-1.2,0.11507,0.130349,0.151211,0.141705,0.015279,0.036141,0.026635,0.000981,0.002211,0.003953,0.000749,0.000907,0.00325,"dir",0.015279,0.000981,0.000749
100,0.25,20,0,-1.1,0.135666,0.151378,0.174351,0.162436,0.015712,0.038685,0.02677,0.001102,0.002518,0.004336,0.000857,0.001023,0.003626,"dir",0.015712,0.001102,0.000857
100,0.25,20,0,-1,0.158655,0.174558,0.199625,0.185066,0.015903,0.04097,0.026411,0.00122,0.002816,0.004692,0.000969,0.00114,0.004003,"dir",0.015903,0.00122,0.000969
100,0.25,20,0,-0.9,0.18406,0.199872,0.226978,0.209621,0.015812,0.042917,0.025561,0.00133,0.003094,0.00502,0.001082,0.001254,0.004375,"dir",0.015812,0.00133,0.001082
100,0.25,20,0,-0.8,0.211855,0.227265,0.256312,0.236114,0.01541,0.044457,0.024259,0.00143,0.003338,0.005318,0.001195,0.001364,0.004739,"dir",0.01541,0.00143,0.001195
100,0.25,20,0,-0.7,0.241964,0.256639,0.287492,0.264533,0.014675,0.045528,0.022569,0.001519,0.003536,0.005586,0.001306,0.001466,0.005087,"dir",0.014675,0.001519,0.001306
100,0.25,20,0,-0.6,0.274253,0.287855,0.320337,0.294814,0.013602,0.046084,0.020561,0.001595,0.003678,0.005826,0.001412,0.001558,0.005414,"dir",0.013602,0.001595,0.001412
100,0.25,20,0,-0.5,0.308538,0.320731,0.354626,0.326832,0.012194,0.046089,0.018295,0.001655,0.003754,0.006041,0.00151,0.001633,0.005717,"dir",0.012194,0.001655,0.00151
100,0.25,20,0,-0.4,0.344578,0.355046,0.390101,0.360402,0.010468,0.045522,0.015824,0.001699,0.003758,0.00623,0.001593,0.001689,0.005991,"dir",0.010468,0.001699,0.001593
100,0.25,20,0,-0.3,0.382089,0.39054,0.426472,0.395277,0.008451,0.044383,0.013188,0.001726,0.00369,0.006389,0.001658,0.001724,0.006227,"dir",0.008451,0.001726,0.001658
100,0.25,20,0,-0.2,0.42074,0.426922,0.46343,0.431155,0.006182,0.04269,0.010414,0.001739,0.003559,0.006513,0.001704,0.00174,0.006418,"dir",0.006182,0.001739,0.001704
100,0.25,20,0,-0.0999999999999996,0.460172,0.463886,0.500659,0.467676,0.003714,0.040487,0.007504,0.001742,0.003378,0.006603,0.001732,0.001742,0.00656,"dir",0.003714,0.001742,0.001732
100,0.25,20,0,0,0.5,0.501113,0.537841,0.504443,0.001113,0.037841,0.004443,0.001744,0.003161,0.006656,0.001746,0.001733,0.006649,"dir",0.001113,0.001744,0.001746
100,0.25,20,0,0.100000000000001,0.539828,0.538285,0.574662,0.541057,-0.001542,0.034834,0.00123,0.001748,0.002922,0.006661,0.001749,0.001712,0.006673,"dir",-0.001542,0.001748,0.001749
100,0.25,20,0,0.2,0.57926,0.575092,0.610819,0.57715,-0.004168,0.031559,-0.00211,0.001753,0.002668,0.006612,0.001739,0.001676,0.006621,"dir",-0.004168,0.001753,0.001739
100,0.25,20,0,0.3,0.617911,0.61123,0.646023,0.612383,-0.006681,0.028111,-0.005528,0.001754,0.002409,0.006514,0.001712,0.001622,0.006497,"dir",-0.006681,0.001754,0.001712
100,0.25,20,0,0.4,0.655422,0.64641,0.680003,0.64645,-0.009011,0.024581,-0.008972,0.001744,0.00215,0.00638,0.001666,0.001549,0.006313,"dir",-0.009011,0.001744,0.001666
100,0.25,20,0,0.5,0.691462,0.680363,0.712516,0.679088,-0.011099,0.021054,-0.012375,0.001719,0.0019,0.00622,0.001599,0.00146,0.006079,"dir",-0.011099,0.001719,0.001599
100,0.25,20,0,0.600000000000001,0.725747,0.712847,0.743352,0.710113,-0.0129,0.017605,-0.015634,0.001677,0.001666,0.006026,0.001514,0.001359,0.005793,"dir",-0.0129,0.001677,0.001514
100,0.25,20,0,0.7,0.758036,0.743651,0.772339,0.739429,-0.014386,0.014303,-0.018608,0.001618,0.001454,0.005789,0.001414,0.001252,0.005453,"dir",-0.014386,0.001618,0.001414
100,0.25,20,0,0.800000000000001,0.788145,0.772604,0.799351,0.767001,-0.01554,0.011207,-0.021144,0.001545,0.001265,0.005505,0.001306,0.001141,0.005068,"dir",-0.01554,0.001545,0.001306
100,0.25,20,0,0.9,0.81594,0.799582,0.824309,0.792814,-0.016358,0.008369,-0.023126,0.001459,0.001097,0.005181,0.001193,0.001029,0.004655,"dir",-0.016358,0.001459,0.001193
100,0.25,20,0,1,0.841345,0.824505,0.847177,0.816848,-0.016839,0.005832,-0.024497,0.001359,0.000949,0.004824,0.001078,0.000916,0.004232,"dir",-0.016839,0.001359,0.001078
100,0.25,20,0,1.1,0.864334,0.84734,0.867959,0.839073,-0.016994,0.003625,-0.025261,0.001247,0.000816,0.004443,0.000961,0.000804,0.003813,"dir",-0.016994,0.001247,0.000961
