"n","p1","sdC1","sdC2","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,0.05,0.1,0,0.5,0.081109,0.088,0.207435,0.066129,0.006891,0.126327,-0.014979,0.000543,0.016753,0.001011,0.00062,0.000993,0.000983,"dir",0.006891,0.000543,0.00062
100,0.25,0.05,0.1,0,1,0.198748,0.22,0.339435,0.20273,0.021252,0.140687,0.003982,0.001212,0.020538,0.000642,0.00095,0.000931,0.000782,"dir",0.021252,0.001212,0.00095
100,0.25,0.05,0.1,0,1.5,0.31773,0.366,0.485435,0.355766,0.04827,0.167706,0.038036,0.003514,0.029908,0.001891,0.00148,0.002229,0.000555,"dir",0.04827,0.003514,0.00148
100,0.25,0.05,0.1,0,2,0.427593,0.46,0.579435,0.463379,0.032407,0.151842,0.035786,0.00265,0.025259,0.004325,0.002,0.002753,0.003806,"dir",0.032407,0.00265,0.002
100,0.25,0.05,0.1,0,2.5,0.524709,0.544,0.663435,0.540939,0.019291,0.138727,0.01623,0.002756,0.022369,0.005338,0.00298,0.003904,0.006343,"dir",0.019291,0.002756,0.00298
100,0.25,0.05,0.1,0,3,0.608375,0.626,0.745435,0.62472,0.017625,0.137061,0.016345,0.002135,0.020553,0.003071,0.00228,0.002209,0.003505,"dir",0.017625,0.002135,0.00228
100,0.25,0.05,0.1,0,3.5,0.679238,0.7,0.819435,0.69052,0.020762,0.140198,0.011282,0.002151,0.021232,0.001867,0.00215,0.001971,0.002175,"dir",0.020762,0.002151,0.00215
100,0.25,0.05,0.1,0,4,0.738536,0.758,0.877435,0.752388,0.019464,0.1389,0.013852,0.002355,0.020771,0.002079,0.00247,0.001848,0.002359,"dir",0.019464,0.002355,0.00247
100,0.25,0.05,0.1,0,4.5,0.78771,0.812,0.931435,0.795985,0.02429,0.143726,0.008275,0.001646,0.021268,0.000705,0.00132,0.000763,0.000796,"dir",0.02429,0.001646,0.00132
100,0.25,0.05,0.1,0,5,0.828203,0.852,0.971435,0.834566,0.023797,0.143233,0.006363,0.001262,0.02105,0.000713,0.00087,0.000668,0.000841,"dir",0.023797,0.001262,0.00087
100,0.25,0.05,0.1,0,5.5,0.861361,0.88,0.989679,0.863031,0.018639,0.128317,0.001669,0.000787,0.01677,0.000428,0.00055,0.00038,0.000532,"dir",0.018639,0.000787,0.00055
100,0.25,0.05,0.1,0,6,0.88839,0.902,0.997039,0.883804,0.01361,0.108649,-0.004586,0.000801,0.01184,0.000754,0.00077,4.4e-05,0.000916,"dir",0.01361,0.000801,0.00077
100,0.25,0.05,0.1,0,6.5,0.910337,0.926,1,0.905639,0.015663,0.089663,-0.004698,0.000669,0.008039,0.000372,0.00053,0,0.000437,"dir",0.015663,0.000669,0.00053
100,0.25,0.05,0.1,0,7,0.928102,0.946,1,0.935622,0.017898,0.071898,0.00752,0.000584,0.005169,0.000132,0.00033,0,9.4e-05,"dir",0.017898,0.000584,0.00033
100,0.25,0.05,0.1,0,7.5,0.942442,0.956,1,0.943813,0.013558,0.057558,0.001372,0.000288,0.003313,4.4e-05,0.00013,0,5.2e-05,"dir",0.013558,0.000288,0.00013
100,0.25,0.05,0.1,0,8,0.953988,0.964,1,0.950729,0.010012,0.046012,-0.00326,0.000204,0.002117,9.7e-05,0.00013,0,0.000108,"dir",0.010012,0.000204,0.00013
100,0.25,0.05,0.1,0,8.5,0.963267,0.966,1,0.955679,0.002733,0.036733,-0.007588,0.000191,0.001349,0.000224,0.00023,0,0.000208,"dir",0.002733,0.000191,0.00023
100,0.25,0.05,0.1,0,9,0.970709,0.972,1,0.961131,0.001291,0.029291,-0.009578,0.000138,0.000858,0.000167,0.00017,0,9.4e-05,"dir",0.001291,0.000138,0.00017
100,0.25,0.05,0.1,0,9.5,0.976669,0.974,1,0.963626,-0.002669,0.023331,-0.013043,0.000191,0.000544,0.000235,0.00023,0,8.1e-05,"dir",-0.002669,0.000191,0.00023
100,0.25,0.05,0.1,0,10,0.981434,0.98,1,0.971246,-0.001434,0.018566,-0.010188,0.000202,0.000345,0.000209,0.00025,0,0.000131,"dir",-0.001434,0.000202,0.00025
100,0.25,0.05,0.1,0,10.5,0.985239,0.986,1,0.97743,0.000761,0.014761,-0.007809,0.000185,0.000218,0.000147,0.00023,0,0.000107,"dir",0.000761,0.000185,0.00023
100,0.25,0.05,0.1,0,11,0.988274,0.99,1,0.979664,0.001726,0.011726,-0.00861,0.000163,0.000137,0.000144,2e-04,0,8.7e-05,"dir",0.001726,0.000163,2e-04
100,0.25,0.05,0.1,0,11.5,0.990692,0.99,1,0.979664,-0.000692,0.009308,-0.011028,0.00016,8.7e-05,0.000191,2e-04,0,8.7e-05,"dir",-0.000692,0.00016,2e-04
100,0.25,0.05,0.1,0,12,0.992617,0.99,1,0.980891,-0.002617,0.007383,-0.011726,0.000167,5.5e-05,0.000181,2e-04,0,5.5e-05,"dir",-0.002617,0.000167,2e-04
100,0.25,0.05,0.1,0.5,0,0,0,0.12016,0.003238,0,0.12016,0.003238,0,0.014509,4.9e-05,0,8.8e-05,4.8e-05,"dir",0,0,0
100,0.25,0.05,0.1,0.5,0.5,0.081109,0.098,0.21816,0.106228,0.016891,0.137051,0.025119,0.000821,0.019619,0.000812,0.00067,0.001044,0.000226,"dir",0.016891,0.000821,0.00067
100,0.25,0.05,0.1,0.5,1,0.198748,0.232,0.35216,0.211163,0.033252,0.153412,0.012415,0.001202,0.023791,0.000372,0.00012,0.000319,0.000273,"dir",0.033252,0.001202,0.00012
100,0.25,0.05,0.1,0.5,1.5,0.31773,0.316,0.43616,0.293909,-0.00173,0.11843,-0.023821,0.000827,0.015041,0.001701,0.00103,0.001269,0.001418,"dir",-0.00173,0.000827,0.00103
