"n","p1","maxc","rho","estimator","tau","true_q","avg_q_hat","bias_q_hat","mse_q_hat","var_q_hat"
500,0.75,0.1,0,"IST",0.5,0.26445,0.26828,0.00383,0.000147,0.000132
500,0.75,0.1,0,"IST",0.75,0.389479,0.396408,0.006929,0.000226,0.000178
500,0.75,0.1,0.5,"Direct",0.25,0.161163,0.161758,0.000595,6.5e-05,6.5e-05
500,0.75,0.1,0.5,"Direct",0.5,0.26445,0.264466,1.6e-05,9.2e-05,9.3e-05
500,0.75,0.1,0.5,"Direct",0.75,0.389479,0.388388,-0.001091,0.000145,0.000144
500,0.75,0.1,0.5,"IST",0.25,0.161163,0.152936,-0.008227,0.000165,9.7e-05
500,0.75,0.1,0.5,"IST",0.5,0.26445,0.268402,0.003952,0.000146,0.000131
500,0.75,0.1,0.5,"IST",0.75,0.389479,0.405346,0.015867,0.00044,0.000189
500,0.75,0.25,-0.5,"Direct",0.25,0.161163,0.161186,2.3e-05,6.3e-05,6.3e-05
500,0.75,0.25,-0.5,"Direct",0.5,0.26445,0.264572,0.000122,9e-05,9e-05
500,0.75,0.25,-0.5,"Direct",0.75,0.389479,0.388938,-0.000541,0.000143,0.000143
500,0.75,0.25,-0.5,"IST",0.25,0.161163,0.174606,0.013443,0.000275,9.5e-05
500,0.75,0.25,-0.5,"IST",0.5,0.26445,0.275442,0.010992,0.000223,0.000103
500,0.75,0.25,-0.5,"IST",0.75,0.389479,0.38981,0.000331,0.000137,0.000138
500,0.75,0.25,0,"Direct",0.25,0.161163,0.161936,0.000773,7.2e-05,7.1e-05
500,0.75,0.25,0,"Direct",0.5,0.26445,0.265192,0.000742,9.1e-05,9e-05
500,0.75,0.25,0,"Direct",0.75,0.389479,0.3901,0.000621,0.000125,0.000125
500,0.75,0.25,0,"IST",0.25,0.161163,0.15241,-0.008753,0.000217,0.000141
500,0.75,0.25,0,"IST",0.5,0.26445,0.275112,0.010662,0.000263,0.000149
500,0.75,0.25,0,"IST",0.75,0.389479,0.412984,0.023505,0.000737,0.000185
500,0.75,0.25,0.5,"Direct",0.25,0.161163,0.161436,0.000273,6.8e-05,6.9e-05
500,0.75,0.25,0.5,"Direct",0.5,0.26445,0.264804,0.000354,9.2e-05,9.2e-05
500,0.75,0.25,0.5,"Direct",0.75,0.389479,0.389214,-0.000265,0.00014,0.00014
500,0.75,0.25,0.5,"IST",0.25,0.161163,0.12766,-0.033503,0.001293,0.000171
500,0.75,0.25,0.5,"IST",0.5,0.26445,0.272438,0.007988,0.000259,0.000196
500,0.75,0.25,0.5,"IST",0.75,0.389479,0.43472,0.045241,0.002282,0.000236
500,0.75,0.5,-0.5,"Direct",0.25,0.161163,0.161446,0.000283,6.5e-05,6.5e-05
500,0.75,0.5,-0.5,"Direct",0.5,0.26445,0.264456,6e-06,9.7e-05,9.7e-05
500,0.75,0.5,-0.5,"Direct",0.75,0.389479,0.389288,-0.000191,0.000142,0.000142
500,0.75,0.5,-0.5,"IST",0.25,0.161163,0.139194,-0.021969,0.000758,0.000276
500,0.75,0.5,-0.5,"IST",0.5,0.26445,0.286582,0.022132,0.000798,0.000309
500,0.75,0.5,-0.5,"IST",0.75,0.389479,0.435956,0.046477,0.002451,0.000292
500,0.75,0.5,0,"Direct",0.25,0.161163,0.16117,7e-06,6.2e-05,6.2e-05
500,0.75,0.5,0,"Direct",0.5,0.26445,0.264734,0.000284,0.000101,0.000101
500,0.75,0.5,0,"Direct",0.75,0.389479,0.389486,7e-06,0.000136,0.000136
500,0.75,0.5,0,"IST",0.25,0.161163,0.105204,-0.055959,0.003443,0.000313
500,0.75,0.5,0,"IST",0.5,0.26445,0.28191,0.01746,0.000623,0.000319
500,0.75,0.5,0,"IST",0.75,0.389479,0.465458,0.075979,0.006113,0.000341
500,0.75,0.5,0.5,"Direct",0.25,0.161163,0.161386,0.000223,6.4e-05,6.4e-05
500,0.75,0.5,0.5,"Direct",0.5,0.26445,0.264718,0.000268,9.7e-05,9.7e-05
500,0.75,0.5,0.5,"Direct",0.75,0.389479,0.389188,-0.000291,0.000143,0.000143
500,0.75,0.5,0.5,"IST",0.25,0.161163,0.07182,-0.089343,0.008359,0.000378
500,0.75,0.5,0.5,"IST",0.5,0.26445,0.27788,0.01343,0.000591,0.000411
500,0.75,0.5,0.5,"IST",0.75,0.389479,0.497864,0.108385,0.012209,0.000463
