"n","p1","maxc","rho","estimator","tau","true_q","avg_q_hat","bias_q_hat","mse_q_hat","var_q_hat"
100,0.5,0.1,-0.5,"IST",0.25,0.161163,0.17644,0.015277,0.00077,0.000538
100,0.5,0.1,-0.5,"IST",0.5,0.26445,0.27158,0.00713,0.000779,0.000729
100,0.5,0.1,-0.5,"IST",0.75,0.389479,0.389172,-0.000307,0.001111,0.001114
100,0.5,0.1,0,"Direct",0.25,0.161163,0.160782,-0.000381,0.000337,0.000338
100,0.5,0.1,0,"Direct",0.5,0.26445,0.262962,-0.001488,0.000498,0.000497
100,0.5,0.1,0,"Direct",0.75,0.389479,0.38798,-0.001499,0.000713,0.000712
100,0.5,0.1,0,"IST",0.25,0.161163,0.164638,0.003475,0.000531,0.00052
100,0.5,0.1,0,"IST",0.5,0.26445,0.271326,0.006876,0.000915,0.00087
100,0.5,0.1,0,"IST",0.75,0.389479,0.399414,0.009935,0.001522,0.001426
100,0.5,0.1,0.5,"Direct",0.25,0.161163,0.160054,-0.001109,0.000308,0.000307
100,0.5,0.1,0.5,"Direct",0.5,0.26445,0.26274,-0.00171,0.000468,0.000466
100,0.5,0.1,0.5,"Direct",0.75,0.389479,0.385448,-0.004031,0.000702,0.000687
100,0.5,0.1,0.5,"IST",0.25,0.161163,0.155542,-0.005621,0.00071,0.000679
100,0.5,0.1,0.5,"IST",0.5,0.26445,0.270898,0.006448,0.000972,0.000932
100,0.5,0.1,0.5,"IST",0.75,0.389479,0.408026,0.018547,0.001883,0.001542
100,0.5,0.25,-0.5,"Direct",0.25,0.161163,0.161154,-9e-06,0.000321,0.000322
100,0.5,0.25,-0.5,"Direct",0.5,0.26445,0.263508,-0.000942,0.000463,0.000463
100,0.5,0.25,-0.5,"Direct",0.75,0.389479,0.385984,-0.003495,0.000766,0.000755
100,0.5,0.25,-0.5,"IST",0.25,0.161163,0.17877,0.017607,0.000806,0.000497
100,0.5,0.25,-0.5,"IST",0.5,0.26445,0.277578,0.013128,0.000766,0.000595
100,0.5,0.25,-0.5,"IST",0.75,0.389479,0.391452,0.001973,0.000866,0.000864
100,0.5,0.25,0,"Direct",0.25,0.161163,0.160606,-0.000557,0.000311,0.000311
100,0.5,0.25,0,"Direct",0.5,0.26445,0.26294,-0.00151,0.000474,0.000472
100,0.5,0.25,0,"Direct",0.75,0.389479,0.38541,-0.004069,0.000674,0.000659
100,0.5,0.25,0,"IST",0.25,0.161163,0.155782,-0.005381,0.000786,0.000758
100,0.5,0.25,0,"IST",0.5,0.26445,0.277522,0.013072,0.001056,0.000887
100,0.5,0.25,0,"IST",0.75,0.389479,0.416074,0.026595,0.0019,0.001195
100,0.5,0.25,0.5,"Direct",0.25,0.161163,0.161506,0.000343,0.00032,0.00032
100,0.5,0.25,0.5,"Direct",0.5,0.26445,0.264864,0.000414,0.00043,0.000431
100,0.5,0.25,0.5,"Direct",0.75,0.389479,0.387608,-0.001871,0.000723,0.000721
